Fecha,Hora,Variable,Valor,Unidad,Lugar
42745,8,Velocidad registrada,11.97,m/s,Barranquilla
42745,9,Velocidad registrada,11.75,m/s,Barranquilla
42745,10,Velocidad registrada,11.33,m/s,Barranquilla
42745,11,Velocidad registrada,12.78,m/s,Barranquilla
42745,12,Velocidad registrada,13.2,m/s,Barranquilla
42745,13,Velocidad registrada,12.2,m/s,Barranquilla
42745,14,Velocidad registrada,10.93,m/s,Barranquilla
42745,15,Velocidad registrada,11.48,m/s,Barranquilla
42745,16,Velocidad registrada,10.77,m/s,Barranquilla
42745,17,Velocidad registrada,11.88,m/s,Barranquilla
42745,18,Velocidad registrada,12.12,m/s,Barranquilla
42745,19,Velocidad registrada,11.08,m/s,Barranquilla
42745,20,Velocidad registrada,9.4,m/s,Barranquilla
42745,21,Velocidad registrada,8.33,m/s,Barranquilla
42745,22,Velocidad registrada,10.07,m/s,Barranquilla
42745,23,Velocidad registrada,12.48,m/s,Barranquilla
42746,0,Velocidad registrada,11.57,m/s,Barranquilla
42746,1,Velocidad registrada,10.75,m/s,Barranquilla
42746,2,Velocidad registrada,10.78,m/s,Barranquilla
42746,3,Velocidad registrada,11.02,m/s,Barranquilla
42746,4,Velocidad registrada,12.1,m/s,Barranquilla
42746,5,Velocidad registrada,12.37,m/s,Barranquilla
42746,6,Velocidad registrada,11.13,m/s,Barranquilla
42746,7,Velocidad registrada,9.33,m/s,Barranquilla
42746,8,Velocidad registrada,10.33,m/s,Barranquilla
42746,9,Velocidad registrada,11.23,m/s,Barranquilla
42746,10,Velocidad registrada,12.08,m/s,Barranquilla
42746,11,Velocidad registrada,10.18,m/s,Barranquilla
42746,12,Velocidad registrada,7.13,m/s,Barranquilla
42746,13,Velocidad registrada,6.87,m/s,Barranquilla
42746,14,Velocidad registrada,7.77,m/s,Barranquilla
42746,15,Velocidad registrada,9.9,m/s,Barranquilla
42746,16,Velocidad registrada,11.77,m/s,Barranquilla
42746,17,Velocidad registrada,12.88,m/s,Barranquilla
42746,18,Velocidad registrada,12.37,m/s,Barranquilla
42746,19,Velocidad registrada,12.38,m/s,Barranquilla
42746,20,Velocidad registrada,11.28,m/s,Barranquilla
42746,21,Velocidad registrada,10.47,m/s,Barranquilla
42746,22,Velocidad registrada,9.72,m/s,Barranquilla
42746,23,Velocidad registrada,10.42,m/s,Barranquilla
42747,0,Velocidad registrada,11.82,m/s,Barranquilla
42747,1,Velocidad registrada,11.6,m/s,Barranquilla
42747,2,Velocidad registrada,12.88,m/s,Barranquilla
42747,3,Velocidad registrada,14.9,m/s,Barranquilla
42747,4,Velocidad registrada,15.3,m/s,Barranquilla
42747,5,Velocidad registrada,12.93,m/s,Barranquilla
42747,6,Velocidad registrada,12.93,m/s,Barranquilla
42747,7,Velocidad registrada,13.62,m/s,Barranquilla
42747,8,Velocidad registrada,15.38,m/s,Barranquilla
42747,9,Velocidad registrada,15.43,m/s,Barranquilla
42747,10,Velocidad registrada,11.67,m/s,Barranquilla
42747,11,Velocidad registrada,10.52,m/s,Barranquilla
42747,12,Velocidad registrada,10.68,m/s,Barranquilla
42747,13,Velocidad registrada,9.02,m/s,Barranquilla
42747,14,Velocidad registrada,9.48,m/s,Barranquilla
42747,15,Velocidad registrada,8.43,m/s,Barranquilla
42747,16,Velocidad registrada,9.08,m/s,Barranquilla
42747,17,Velocidad registrada,9.88,m/s,Barranquilla
42747,18,Velocidad registrada,10.5,m/s,Barranquilla
42747,19,Velocidad registrada,11.4,m/s,Barranquilla
42747,20,Velocidad registrada,12.48,m/s,Barranquilla
42747,21,Velocidad registrada,11.13,m/s,Barranquilla
42747,22,Velocidad registrada,11.35,m/s,Barranquilla
42747,23,Velocidad registrada,12.07,m/s,Barranquilla
42748,0,Velocidad registrada,12.05,m/s,Barranquilla
42748,1,Velocidad registrada,12.5,m/s,Barranquilla
42748,2,Velocidad registrada,12.3,m/s,Barranquilla
42748,3,Velocidad registrada,12.02,m/s,Barranquilla
42748,4,Velocidad registrada,13.73,m/s,Barranquilla
42748,5,Velocidad registrada,12.32,m/s,Barranquilla
42748,6,Velocidad registrada,12.68,m/s,Barranquilla
42748,7,Velocidad registrada,13.15,m/s,Barranquilla
42748,8,Velocidad registrada,12.83,m/s,Barranquilla
42748,9,Velocidad registrada,12.78,m/s,Barranquilla
42748,10,Velocidad registrada,12.77,m/s,Barranquilla
42748,11,Velocidad registrada,12.32,m/s,Barranquilla
42748,12,Velocidad registrada,12.08,m/s,Barranquilla
42748,13,Velocidad registrada,11.27,m/s,Barranquilla
42748,14,Velocidad registrada,12.92,m/s,Barranquilla
42748,15,Velocidad registrada,11.83,m/s,Barranquilla
42748,16,Velocidad registrada,9.45,m/s,Barranquilla
42748,17,Velocidad registrada,10.28,m/s,Barranquilla
42748,18,Velocidad registrada,11.15,m/s,Barranquilla
42748,19,Velocidad registrada,10.47,m/s,Barranquilla
42748,20,Velocidad registrada,11.3,m/s,Barranquilla
42748,21,Velocidad registrada,11.7,m/s,Barranquilla
42748,22,Velocidad registrada,12.12,m/s,Barranquilla
42748,23,Velocidad registrada,12.7,m/s,Barranquilla
42749,0,Velocidad registrada,12.77,m/s,Barranquilla
42749,1,Velocidad registrada,11.98,m/s,Barranquilla
42749,2,Velocidad registrada,12.22,m/s,Barranquilla
42749,3,Velocidad registrada,11.38,m/s,Barranquilla
42749,4,Velocidad registrada,11.47,m/s,Barranquilla
42749,5,Velocidad registrada,10.75,m/s,Barranquilla
42749,6,Velocidad registrada,11.18,m/s,Barranquilla
42749,7,Velocidad registrada,12.58,m/s,Barranquilla
42749,8,Velocidad registrada,12.58,m/s,Barranquilla
42749,9,Velocidad registrada,11.7,m/s,Barranquilla
42749,10,Velocidad registrada,12.22,m/s,Barranquilla
42749,11,Velocidad registrada,11.67,m/s,Barranquilla
42749,12,Velocidad registrada,9.88,m/s,Barranquilla
42749,13,Velocidad registrada,9.03,m/s,Barranquilla
42749,14,Velocidad registrada,8.08,m/s,Barranquilla
42749,15,Velocidad registrada,9.42,m/s,Barranquilla
42749,16,Velocidad registrada,10.87,m/s,Barranquilla
42749,17,Velocidad registrada,10.1,m/s,Barranquilla
42749,18,Velocidad registrada,10.43,m/s,Barranquilla
42749,19,Velocidad registrada,9.72,m/s,Barranquilla
42749,20,Velocidad registrada,10.65,m/s,Barranquilla
42749,21,Velocidad registrada,10.83,m/s,Barranquilla
42749,22,Velocidad registrada,12.13,m/s,Barranquilla
42749,23,Velocidad registrada,13.63,m/s,Barranquilla
42750,0,Velocidad registrada,13.17,m/s,Barranquilla
42750,1,Velocidad registrada,12.35,m/s,Barranquilla
42750,2,Velocidad registrada,11.37,m/s,Barranquilla
42750,3,Velocidad registrada,11,m/s,Barranquilla
42750,4,Velocidad registrada,10.33,m/s,Barranquilla
42750,5,Velocidad registrada,11.4,m/s,Barranquilla
42750,6,Velocidad registrada,9.7,m/s,Barranquilla
42750,7,Velocidad registrada,8.15,m/s,Barranquilla
42750,8,Velocidad registrada,11.77,m/s,Barranquilla
42750,9,Velocidad registrada,9.53,m/s,Barranquilla
42750,10,Velocidad registrada,9.43,m/s,Barranquilla
42750,11,Velocidad registrada,8.1,m/s,Barranquilla
42750,12,Velocidad registrada,6.55,m/s,Barranquilla
42750,13,Velocidad registrada,6.9,m/s,Barranquilla
42750,14,Velocidad registrada,6.65,m/s,Barranquilla
42750,15,Velocidad registrada,8.13,m/s,Barranquilla
42750,16,Velocidad registrada,9.77,m/s,Barranquilla
42750,17,Velocidad registrada,10.68,m/s,Barranquilla
42750,18,Velocidad registrada,9.13,m/s,Barranquilla
42750,19,Velocidad registrada,9.17,m/s,Barranquilla
42750,20,Velocidad registrada,10.58,m/s,Barranquilla
42750,21,Velocidad registrada,10.6,m/s,Barranquilla
42750,22,Velocidad registrada,8.2,m/s,Barranquilla
42750,23,Velocidad registrada,10,m/s,Barranquilla
42751,0,Velocidad registrada,9.65,m/s,Barranquilla
42751,1,Velocidad registrada,10.52,m/s,Barranquilla
42751,2,Velocidad registrada,11.02,m/s,Barranquilla
42751,3,Velocidad registrada,12.9,m/s,Barranquilla
42751,4,Velocidad registrada,10.8,m/s,Barranquilla
42751,5,Velocidad registrada,9.62,m/s,Barranquilla
42751,6,Velocidad registrada,8.68,m/s,Barranquilla
42751,7,Velocidad registrada,6.2,m/s,Barranquilla
42751,8,Velocidad registrada,7.28,m/s,Barranquilla
42751,9,Velocidad registrada,8.03,m/s,Barranquilla
42751,10,Velocidad registrada,10.17,m/s,Barranquilla
42751,11,Velocidad registrada,8.78,m/s,Barranquilla
42751,12,Velocidad registrada,8.97,m/s,Barranquilla
42751,13,Velocidad registrada,10.77,m/s,Barranquilla
42751,14,Velocidad registrada,9.65,m/s,Barranquilla
42751,15,Velocidad registrada,9.23,m/s,Barranquilla
42751,16,Velocidad registrada,10.53,m/s,Barranquilla
